,labels,C_CODE,C_NAME,C_CATEGORY,C_MARKET
0,9,005930,삼성전자,전기전자,KOSPI
1,9,000660,SK하이닉스,전기전자,KOSPI
2,9,035420,NAVER,서비스업,KOSPI
3,5,207940,삼성바이오로직스,의약품,KOSPI
4,9,035720,카카오,서비스업,KOSPI
5,9,051910,LG화학,화학,KOSPI
6,9,006400,삼성SDI,전기전자,KOSPI
7,3,005380,현대자동차,운수장비,KOSPI
8,5,068270,셀트리온,의약품,KOSPI
9,3,000270,기아,운수장비,KOSPI
10,2,005490,포스코,철강금속,KOSPI
11,3,012330,현대모비스,운수장비,KOSPI
12,9,028260,삼성물산,유통업,KOSPI
13,3,066570,LG전자,전기전자,KOSPI
14,9,096770,SK이노베이션,화학,KOSPI
15,5,051900,LG생활건강,화학,KOSPI
16,6,017670,SK텔레콤,통신업,KOSPI
17,8,105560,KB금융,금융업,KOSPI
18,6,055550,신한지주,금융업,KOSPI
19,9,034730,SK,금융업,KOSPI
20,9,036570,엔씨소프트,서비스업,KOSPI
21,5,015760,한국전력공사,전기가스업,KOSPI
22,2,011200,HMM,운수창고업,KOSPI
23,6,032830,삼성생명,금융업,KOSPI
24,3,003550,LG,금융업,KOSPI
25,9,018260,삼성에스디에스,서비스업,KOSPI
26,8,086790,하나금융지주,금융업,KOSPI
27,9,009150,삼성전기,전기전자,KOSPI
28,1,090430,아모레퍼시픽,화학,KOSPI
29,9,003670,포스코케미칼,비금속광물,KOSPI
30,5,033780,케이티앤지,제조업,KOSPI
31,5,251270,넷마블,서비스업,KOSPI
32,7,034020,두산중공업,기계,KOSPI
33,4,010950,S-Oil,화학,KOSPI
34,6,000810,삼성화재해상보험,금융업,KOSPI
35,4,003490,대한항공,운수창고업,KOSPI
36,5,010130,고려아연,철강금속,KOSPI
37,5,326030,에스케이바이오팜,서비스업,KOSPI
38,6,030200,케이티,통신업,KOSPI
39,3,018880,한온시스템,기계,KOSPI
40,7,011170,롯데케미칼,화학,KOSPI
41,4,009540,한국조선해양,운수장비,KOSPI
42,6,316140,우리금융지주,금융업,KOSPI
43,6,024110,기업은행,금융업,KOSPI
44,3,034220,LG디스플레이,전기전자,KOSPI
45,7,009830,한화솔루션,화학,KOSPI
46,3,086280,현대글로비스,운수창고업,KOSPI
47,6,097950,CJ제일제당,음식료품,KOSPI
48,2,004020,현대제철,철강금속,KOSPI
49,6,032640,LG유플러스,통신업,KOSPI
50,9,011790,SKC,화학,KOSPI
51,3,161390,한국타이어앤테크놀로지,화학,KOSPI
52,4,000720,현대건설,건설업,KOSPI
53,1,035250,강원랜드,서비스업,KOSPI
54,7,011780,금호석유화학,화학,KOSPI
55,6,021240,코웨이,서비스업,KOSPI
56,5,006800,미래에셋증권,금융업,KOSPI
57,4,267250,현대중공업지주,화학,KOSPI
58,5,008930,한미사이언스,금융업,KOSPI
59,7,071050,한국금융지주,금융업,KOSPI
60,3,011070,LG이노텍,전기전자,KOSPI
61,3,139480,이마트,유통업,KOSPI
62,6,271560,오리온,음식료품,KOSPI
63,1,002790,아모레퍼시픽그룹,화학,KOSPI
64,4,028050,삼성엔지니어링,서비스업,KOSPI
65,2,241560,두산밥캣,기계,KOSPI
66,5,180640,한진칼,운수창고업,KOSPI
67,5,000100,유한양행,의약품,KOSPI
68,6,005830,DB손해보험,금융업,KOSPI
69,6,016360,삼성증권,금융업,KOSPI
70,2,028670,팬오션,운수창고업,KOSPI
71,5,003410,쌍용씨앤이,비금속광물,KOSPI
72,5,029780,삼성카드,금융업,KOSPI
73,4,078930,GS,금융업,KOSPI
74,5,128940,한미약품,의약품,KOSPI
75,4,010140,삼성중공업,운수장비,KOSPI
76,1,004990,롯데지주,금융업,KOSPI
77,5,000120,CJ대한통운,운수창고업,KOSPI
78,9,020150,일진머티리얼즈,전기전자,KOSPI
79,4,006360,GS건설,건설업,KOSPI
80,0,006280,녹십자,의약품,KOSPI
81,5,005940,NH투자증권,금융업,KOSPI
82,5,019170,신풍제약,의약품,KOSPI
83,7,112610,씨에스윈드,기계,KOSPI
84,3,272210,한화시스템,전기전자,KOSPI
85,1,008770,호텔신라,유통업,KOSPI
86,3,298020,효성티앤씨,화학,KOSPI
87,1,007070,GS리테일,유통업,KOSPI
88,6,008560,메리츠증권,금융업,KOSPI
89,5,285130,SK케미칼,화학,KOSPI
90,1,036460,한국가스공사,전기가스업,KOSPI
91,9,014680,한솔케미칼,화학,KOSPI
92,1,081660,휠라홀딩스,유통업,KOSPI
93,4,042660,대우조선해양,운수장비,KOSPI
94,7,336260,두산퓨얼셀,전기전자,KOSPI
95,1,023530,롯데쇼핑,유통업,KOSPI
96,6,026960,동서,유통업,KOSPI
97,9,039490,키움증권,금융업,KOSPI
98,5,012750,에스원,서비스업,KOSPI
99,8,088350,한화생명,금융업,KOSPI
100,3,204320,만도,운수장비,KOSPI
101,5,282330,BGF리테일,유통업,KOSPI
102,4,010620,현대미포조선,운수장비,KOSPI
103,0,047810,한국항공우주,운수장비,KOSPI
104,4,047040,대우건설,건설업,KOSPI
105,2,002380,케이씨씨,화학,KOSPI
106,6,001040,CJ,금융업,KOSPI
107,0,047050,포스코인터내셔널,유통업,KOSPI
108,6,030000,제일기획,서비스업,KOSPI
109,0,064350,현대로템,운수장비,KOSPI
110,0,012450,한화에어로스페이스,운수장비,KOSPI
111,1,004170,신세계,유통업,KOSPI
112,5,009240,한샘,유통업,KOSPI
113,5,000990,DB하이텍,전기전자,KOSPI
114,6,138930,BNK금융지주,금융업,KOSPI
115,3,011210,현대위아,운수장비,KOSPI
116,5,010060,OCI,화학,KOSPI
117,3,298050,효성첨단소재,화학,KOSPI
118,5,000080,하이트진로,음식료품,KOSPI
119,3,000880,한화,화학,KOSPI
120,7,006260,LS,금융업,KOSPI
121,6,001450,현대해상,금융업,KOSPI
122,7,004800,효성,금융업,KOSPI
123,7,001440,대한전선,전기전자,KOSPI
124,0,017800,현대엘리베이터,기계,KOSPI
125,5,003090,대웅,금융업,KOSPI
126,3,120110,코오롱인더,화학,KOSPI
127,7,052690,한전기술,서비스업,KOSPI
128,5,069620,대웅제약,의약품,KOSPI
129,1,069960,현대백화점,유통업,KOSPI
130,6,073240,금호타이어,화학,KOSPI
131,7,010120,엘에스일렉트릭,전기전자,KOSPI
132,2,001230,동국제강,철강금속,KOSPI
133,5,004370,농심,음식료품,KOSPI
134,5,007310,오뚜기,음식료품,KOSPI
135,4,294870,HDC현대산업개발,건설업,KOSPI
136,7,051600,한전KPS,건설업,KOSPI
137,1,111770,영원무역,유통업,KOSPI
138,5,013890,지누스,제조업,KOSPI
139,7,004000,롯데정밀화학,화학,KOSPI
140,3,000240,한국앤컴퍼니,금융업,KOSPI
141,2,016380,KG동부제철,철강금속,KOSPI
142,5,185750,종근당,의약품,KOSPI
143,1,192820,코스맥스,화학,KOSPI
144,7,000150,두산,서비스업,KOSPI
145,5,010780,아이에스동서,비금속광물,KOSPI
146,5,003000,부광약품,의약품,KOSPI
147,0,005250,녹십자홀딩스,서비스업,KOSPI
148,7,006650,대한유화,화학,KOSPI
149,4,000210,DL,금융업,KOSPI
150,2,000670,영풍,철강금속,KOSPI
151,5,001740,SK네트웍스,유통업,KOSPI
152,5,009420,한올바이오파마,의약품,KOSPI
153,4,020560,아시아나항공,운수창고업,KOSPI
154,1,031430,신세계인터내셔날,유통업,KOSPI
155,5,032350,롯데관광개발,서비스업,KOSPI
156,7,042670,두산인프라코어,기계,KOSPI
157,5,093370,후성,화학,KOSPI
158,9,014820,동원시스템즈,화학,KOSPI
159,1,079160,CJ CGV,서비스업,KOSPI
160,5,192080,더블유게임즈,서비스업,KOSPI
161,1,161890,한국콜마,화학,KOSPI
162,5,003850,보령제약,의약품,KOSPI
163,6,005300,롯데칠성음료,음식료품,KOSPI
164,3,004490,세방전지,전기전자,KOSPI
165,3,003240,태광산업,화학,KOSPI
166,2,001120,LX인터내셔널,유통업,KOSPI
167,3,214320,이노션,서비스업,KOSPI
168,5,006120,SK디스커버리,금융업,KOSPI
169,6,005440,현대그린푸드,유통업,KOSPI
170,5,003520,영진약품,의약품,KOSPI
171,6,002350,넥센타이어,화학,KOSPI
172,5,001800,오리온홀딩스,금융업,KOSPI
173,6,001680,대상,음식료품,KOSPI
174,0,000070,삼양홀딩스,금융업,KOSPI
175,1,020000,한섬,섬유의복,KOSPI
176,6,284740,쿠쿠홈시스,서비스업,KOSPI
177,1,241590,화승엔터프라이즈,제조업,KOSPI
178,5,192400,쿠쿠홀딩스,금융업,KOSPI
179,1,114090,GKL,서비스업,KOSPI
180,2,103140,풍산,철강금속,KOSPI
181,3,079550,LIG넥스원,기계,KOSPI
182,7,069260,휴켐스,화학,KOSPI
183,6,057050,현대홈쇼핑,유통업,KOSPI
184,1,071840,롯데하이마트,유통업,KOSPI
185,6,049770,동원F&B,음식료품,KOSPI
186,3,064960,SNT모티브,운수장비,KOSPI
187,6,006040,동원산업,없음,KOSPI
188,1,105630,한세실업,섬유의복,KOSPI
189,5,108670,LX하우시스,화학,KOSPI
190,5,007570,일양약품,의약품,KOSPI
191,5,001060,JW중외제약,의약품,KOSPI
192,5,115390,락앤락,화학,KOSPI
193,5,003230,삼양식품,음식료품,KOSPI
194,1,007700,F&F 홀딩스,섬유의복,KOSPI
